 id ,CompanySize,CompanyType,CompetePeers,DeveloperType,HaveAssembly,HaveC,HaveC#,HaveC++,HaveJava,HaveJavaScript,HaveObjective-C,HavePHP,HavePerl,HavePython,HaveR,HaveRuby,HaveSQL,HaveSwift,HaveTypeScript,HaveVB.NET,HaveVBA,JobSatisfaction,MajorUndergrad,Salary,WantAssembly,WantC,WantC#,WantC++,WantJava,WantJavaScript,WantObjective-C,WantPHP,WantPerl,WantPython,WantR,WantRuby,WantSQL,WantSwift,WantTypeScript,WantVB.NET,WantVBA
83,10000 or more employees,Publicly-traded corporation,Somewhat agree,Web developer,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,Computer science or software engineering,160001-170000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
102,20 to 99 employees,Privately-held limited company not in startup mode,Disagree,Developer with a statistics or mathematics background,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Computer engineering or electrical/electronics engineering,70001-80000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,10 to 19 employees,Privately-held limited company not in startup mode,Agree,Web developer,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7,A business discipline,30001-40000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
111,10000 or more employees,Privately-held limited company not in startup mode,Disagree,Web developer,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,6,Computer engineering or electrical/electronics engineering,30001-40000,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
113,20 to 99 employees,Privately-held limited company not in startup mode,Agree,Desktop applications developer,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Computer programming or Web development,20001-30000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
115,10 to 19 employees,Privately-held limited company not in startup mode,Strongly disagree,Web developer,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,Computer science or software engineering,80001-90000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
126,20 to 99 employees,Privately-held limited company not in startup mode,Disagree,Web developer,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,5,Computer engineering or electrical/electronics engineering,10001-20000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
133,Fewer than 10 employees,Pre-series A startup,Disagree,Web developer,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,5,Computer science or software engineering,1-10000,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
135,10 to 19 employees,Privately-held limited company not in startup mode,Strongly disagree,Web developer,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,A social science,30001-40000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
143,Fewer than 10 employees,Privately-held limited company not in startup mode,Strongly agree,Web developer,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,4,Computer science or software engineering,40001-50000,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
156,500 to 999 employees,Privately-held limited company not in startup mode,Strongly disagree,Web developer,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,7,Computer science or software engineering,70001-80000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
157,100 to 499 employees,Non-profit/non-governmental organization or private school/university,Disagree,Web developer,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,9,Computer science or software engineering,100001-110000,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
162,5000 to 9999 employees,Government agency or public school/university,Agree,Web developer,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,6,Computer science or software engineering,20001-30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,20 to 99 employees,Privately-held limited company not in startup mode,Agree,Web developer,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,5,Computer science or software engineering,90001-100000,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
177,20 to 99 employees,Privately-held limited company not in startup mode,Strongly agree,Web developer,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,10,Computer science or software engineering,110001-120000,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
183,10000 or more employees,Publicly-traded corporation,Disagree,Web developer,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,Computer science or software engineering,1-10000,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
206,20 to 99 employees,Sole proprietorship or partnership not in startup mode,Disagree,Web developer,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4,Computer science or software engineering,50001-60000,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
209,1000 to 4999 employees,Government agency or public school/university,Disagree,Web developer,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8,Computer programming or Web development,40001-50000,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
212,20 to 99 employees,Privately-held limited company not in startup mode,Somewhat agree,Web developer,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,6,Computer programming or Web development,20001-30000,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
214,5000 to 9999 employees,Pre-series A startup,Disagree,Developer with a statistics or mathematics background,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,Computer science or software engineering,40001-50000,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
220,100 to 499 employees,Non-profit/non-governmental organization or private school/university,Agree,Web developer,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,10,Computer science or software engineering,180001-190000,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
223,500 to 999 employees,Privately-held limited company not in startup mode,Disagree,Web developer,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,8,Computer science or software engineering,150001-160000,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
224,100 to 499 employees,Venture-funded startup,Strongly disagree,Web developer,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,10,Computer science or software engineering,100001-110000,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0
232,10 to 19 employees,Privately-held limited company not in startup mode,Somewhat agree,Web developer,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,8,Computer programming or Web development,40001-50000,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
235,1000 to 4999 employees,Publicly-traded corporation,Disagree,Embedded applications/devices developer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,Computer engineering or electrical/electronics engineering,60001-70000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,20 to 99 employees,Privately-held limited company not in startup mode,Disagree,Web developer,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8,Management information systems,70001-80000,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
241,1000 to 4999 employees,Privately-held limited company not in startup mode,Somewhat agree,Graphics programming,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,10,A non-computer-focused engineering discipline,80001-90000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
249,5000 to 9999 employees,Publicly-traded corporation,Agree,Web developer,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,8,Computer science or software engineering,60001-70000,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0
258,10 to 19 employees,Pre-series A startup,Disagree,Embedded applications/devices developer,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,5,A business discipline,60001-70000,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
264,100 to 499 employees,Privately-held limited company not in startup mode,Somewhat agree,Web developer,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,5,Computer science or software engineering,50001-60000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
267,20 to 99 employees,Privately-held limited company not in startup mode,Disagree,Web developer,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,Computer science or software engineering,110001-120000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
274,10000 or more employees,Publicly-traded corporation,Agree,Web developer,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,Management information systems,160001-170000,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
275,1000 to 4999 employees,Publicly-traded corporation,Disagree,Developer with a statistics or mathematics background,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,A natural science,70001-80000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
281,100 to 499 employees,Privately-held limited company not in startup mode,Disagree,Web developer,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,Computer science or software engineering,70001-80000,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
284,10000 or more employees,Publicly-traded corporation,Disagree,Web developer,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,6,Computer science or software engineering,1-10000,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
291,1000 to 4999 employees,Venture-funded startup,Somewhat agree,Mobile developer,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,5,Computer science or software engineering,160001-170000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
315,100 to 499 employees,Privately-held limited company not in startup mode,Somewhat agree,Web developer,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,Psychology,90001-100000,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
322,20 to 99 employees,Privately-held limited company not in startup mode,Agree,Web developer,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,5,Computer science or software engineering,1-10000,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
324,100 to 499 employees,Venture-funded startup,Disagree,Web developer,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,10,Computer science or software engineering,110001-120000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
326,20 to 99 employees,Privately-held limited company not in startup mode,Agree,Web developer,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,6,Computer science or software engineering,10001-20000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
328,100 to 499 employees,Privately-held limited company not in startup mode,Agree,DevOps specialist,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,8,Computer science or software engineering,40001-50000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
329,10000 or more employees,Publicly-traded corporation,Somewhat agree,Desktop applications developer,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Computer science or software engineering,60001-70000,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0
345,10000 or more employees,Publicly-traded corporation,Somewhat agree,Web developer,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,6,Computer science or software engineering,50001-60000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
347,10000 or more employees,Publicly-traded corporation,Disagree,Mobile developer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,Computer engineering or electrical/electronics engineering,100001-110000,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
352,500 to 999 employees,Privately-held limited company not in startup mode,Strongly disagree,Web developer,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,8,Mathematics or statistics,30001-40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,500 to 999 employees,Privately-held limited company not in startup mode,Disagree,Web developer,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4,Mathematics or statistics,20001-30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,10000 or more employees,Publicly-traded corporation,Disagree,Developer with a statistics or mathematics background,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,8,A social science,160001-170000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
371,1000 to 4999 employees,Something else,Disagree,Web developer,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,Computer science or software engineering,60001-70000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
373,1000 to 4999 employees,Privately-held limited company not in startup mode,Strongly agree,Web developer,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,Management information systems,140001-150000,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
386,100 to 499 employees,Privately-held limited company not in startup mode,Strongly disagree,Web developer,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,8,Computer science or software engineering,30001-40000,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
387,10000 or more employees,Publicly-traded corporation,Somewhat agree,Web developer,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,Computer science or software engineering,100001-110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,20 to 99 employees,Sole proprietorship or partnership not in startup mode,Agree,Web developer,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,8,Computer science or software engineering,30001-40000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
399,20 to 99 employees,Privately-held limited company not in startup mode,Disagree,Desktop applications developer,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,A non-computer-focused engineering discipline,20001-30000,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
402,10000 or more employees,Publicly-traded corporation,Agree,Web developer,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,Computer science or software engineering,50001-60000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
406,20 to 99 employees,Privately-held limited company not in startup mode,Strongly disagree,Web developer,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10,Computer science or software engineering,110001-120000,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0
408,100 to 499 employees,Privately-held limited company not in startup mode,Somewhat agree,Web developer,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,Mathematics or statistics,10001-20000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
412,10 to 19 employees,Sole proprietorship or partnership not in startup mode,Disagree,Web developer,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,Computer science or software engineering,1-10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
425,1000 to 4999 employees,Privately-held limited company not in startup mode,Disagree,Machine learning specialist,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,Computer science or software engineering,140001-150000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
429,10 to 19 employees,Venture-funded startup,Somewhat agree,Web developer,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,Computer science or software engineering,130001-140000,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
431,500 to 999 employees,Privately-held limited company not in startup mode,Disagree,Web developer,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,6,Computer science or software engineering,150001-160000,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
433,500 to 999 employees,Publicly-traded corporation,Agree,Web developer,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,Computer science or software engineering,80001-90000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
436,1000 to 4999 employees,Government agency or public school/university,Disagree,Web developer,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,7,Computer science or software engineering,30001-40000,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0
437,100 to 499 employees,Venture-funded startup,Somewhat agree,Web developer,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,Computer programming or Web development,20001-30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,100 to 499 employees,Privately-held limited company not in startup mode,Disagree,Developer with a statistics or mathematics background,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,Computer science or software engineering,50001-60000,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
446,10000 or more employees,Privately-held limited company not in startup mode,Strongly agree,Web developer,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Computer science or software engineering,1-10000,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
447,Fewer than 10 employees,Privately-held limited company not in startup mode,Disagree,Web developer,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,A natural science,60001-70000,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
448,20 to 99 employees,Sole proprietorship or partnership not in startup mode,Agree,Web developer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Computer engineering or electrical/electronics engineering,10001-20000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
451,10000 or more employees,Publicly-traded corporation,Somewhat agree,Web developer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Computer science or software engineering,80001-90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,Fewer than 10 employees,Sole proprietorship or partnership not in startup mode,Strongly disagree,Web developer,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,10,Computer programming or Web development,10001-20000,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
454,20 to 99 employees,Sole proprietorship or partnership not in startup mode,Somewhat agree,Web developer,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,Computer engineering or electrical/electronics engineering,1-10000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
457,10000 or more employees,Publicly-traded corporation,Strongly disagree,Other,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,6,A non-computer-focused engineering discipline,100001-110000,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
475,20 to 99 employees,Privately-held limited company not in startup mode,Somewhat agree,Desktop applications developer,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,A natural science,90001-100000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
490,10 to 19 employees,Venture-funded startup,Agree,Mobile developer,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,7,Computer science or software engineering,40001-50000,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
499,20 to 99 employees,Sole proprietorship or partnership not in startup mode,Somewhat agree,Web developer,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,8,Computer engineering or electrical/electronics engineering,70001-80000,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
507,10000 or more employees,Publicly-traded corporation,Somewhat agree,Web developer,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,Computer science or software engineering,1-10000,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
517,Fewer than 10 employees,Sole proprietorship or partnership not in startup mode,Somewhat agree,Embedded applications/devices developer,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8,Computer engineering or electrical/electronics engineering,80001-90000,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
518,1000 to 4999 employees,Publicly-traded corporation,Somewhat agree,Web developer,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,Computer science or software engineering,1-10000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
522,Fewer than 10 employees,Privately-held limited company not in startup mode,Strongly agree,Desktop applications developer,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,Computer science or software engineering,1-10000,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
533,100 to 499 employees,Privately-held limited company not in startup mode,Disagree,Web developer,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,6,Computer science or software engineering,30001-40000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
534,20 to 99 employees,Privately-held limited company not in startup mode,Disagree,Web developer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,Computer science or software engineering,20001-30000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
536,10 to 19 employees,Privately-held limited company not in startup mode,Somewhat agree,Web developer,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,9,Computer science or software engineering,1-10000,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
546,Fewer than 10 employees,Privately-held limited company not in startup mode,Somewhat agree,Web developer,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,Computer science or software engineering,20001-30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562,100 to 499 employees,Privately-held limited company not in startup mode,Disagree,Web developer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Something else,50001-60000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
565,20 to 99 employees,Privately-held limited company not in startup mode,Disagree,Web developer,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,7,Computer science or software engineering,10001-20000,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0
576,10 to 19 employees,Privately-held limited company not in startup mode,Disagree,Web developer,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,Computer science or software engineering,60001-70000,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
581,10000 or more employees,Privately-held limited company not in startup mode,Disagree,Web developer,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,Computer science or software engineering,1-10000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
590,20 to 99 employees,Privately-held limited company not in startup mode,Agree,Developer with a statistics or mathematics background,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,5,A natural science,70001-80000,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
611,100 to 499 employees,Privately-held limited company not in startup mode,Disagree,Desktop applications developer,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,Computer science or software engineering,60001-70000,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
613,20 to 99 employees,Privately-held limited company not in startup mode,Disagree,Web developer,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,8,Computer science or software engineering,20001-30000,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0
617,10 to 19 employees,Privately-held limited company not in startup mode,Disagree,Mobile developer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Something else,30001-40000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,100 to 499 employees,Privately-held limited company not in startup mode,Disagree,Web developer,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8,A business discipline,120001-130000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
626,500 to 999 employees,Government agency or public school/university,Disagree,Embedded applications/devices developer,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,Computer engineering or electrical/electronics engineering,80001-90000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
634,100 to 499 employees,Sole proprietorship or partnership not in startup mode,Agree,Web developer,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8,Computer science or software engineering,30001-40000,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
646,20 to 99 employees,Privately-held limited company not in startup mode,Disagree,Embedded applications/devices developer,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Computer engineering or electrical/electronics engineering,90001-100000,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
648,20 to 99 employees,Privately-held limited company not in startup mode,Somewhat agree,Web developer,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,8,Computer science or software engineering,80001-90000,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
655,100 to 499 employees,Publicly-traded corporation,Strongly disagree,Web developer,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,Computer science or software engineering,70001-80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
